Ticker,Close,ADV_3M,Annualized_Vol,RSI_14,SMA30,High_52W,CMF_20,SMA21,SMA200,Market_Cap,Shares_Outstanding,Pass_MarketCap,Pass_Liquidity,Pass_Volatility,Pass_RSI,Pass_TrendSupport,Pass_Proximity52W,Pass_CMF,Passes_Funnel,Momentum_Score,Rank
CGPOWER.NS,901.3499755859375,3672050.396825397,0.3114634873783541,56.300204465485315,872.8000020345052,937.9000244140625,0.0038281135360178605,887.6690528506324,727.4648657226562,1419588579285.021,1574958249.0,True,True,True,True,True,True,True,True,0.2202225766172652,11
PARAS.NS,989.0999755859375,2126491.0,0.4533255628056262,67.23996874262582,846.6399983723958,1040.5,0.1793244474018709,858.538097563244,711.6315017700196,79708926135.53589,80587330.0,True,True,True,True,True,True,True,True,0.20643633035894018,12
CHENNPETRO.NS,1140.0999755859375,2293538.206349206,0.4860614243411014,56.26426776721756,1081.4116678873697,1226.4000244140625,0.07471847367745559,1086.0142880394346,907.8883612060547,169773883504.46777,148911400.0,True,True,True,True,True,True,True,True,0.19619805082285047,13
MOTHERSON.NS,140.74000549316406,23812004.603174604,0.34194385933671306,56.03933867564767,134.74933395385742,145.74000549316406,0.06753424682522084,138.57476298014322,116.66966423034668,1482165541300.721,10531231231.0,True,True,True,True,True,True,True,True,0.18775316526623595,14
ATGL.NS,716.1500244140625,9160638.46031746,0.46735137350198525,53.64589960164296,680.8266642252604,808.5499877929688,0.00907430189374603,702.5309477306548,597.2332499694825,787629017791.2821,1099810083.0,True,True,True,True,True,True,True,True,0.1763091685979521,15
FEDERALBNK.NS,309.75,12388638.38095238,0.24371443980364912,66.96354208666727,292.65166727701825,315.1000061035156,0.10247330250844493,293.6309538341704,257.377700958252,763536535891.5,2465008994.0,True,True,True,True,True,True,True,True,0.14085623090478563,16
VBL.NS,519.9000244140625,6950371.73015873,0.28540079659617623,52.08632002735955,518.4183359781902,539.4500122070312,0.06239098466471877,524.4380972726004,470.2484078979492,1758455847841.1895,3382296144.0,True,True,True,True,True,True,True,True,0.11523630588540167,17
GRASIM.NS,3089.5,1009338.3650793651,0.21758939521828138,58.7025624259077,3027.6500244140625,3171.60009765625,0.028578128768104026,3077.6524018787204,2822.1775,2095214899584.5,678172811.0,True,True,True,True,True,True,True,True,0.09052403751313326,18
CYIENTDLM.NS,431.8500061035156,1277085.0952380951,0.3697027459374438,53.35258615337079,426.8866658528646,493.20001220703125,0.07224837271202462,431.69285656156995,400.73000045776365,34273514897.00183,79364396.0,True,True,True,True,True,True,True,True,0.07726612948478197,19
TEJASNET.NS,573.5,8264528.412698412,0.5473547343260152,65.17108902363893,495.9166687011719,719.9122924804688,0.11704082143463988,509.80238124302457,476.3240002441406,101792062303.0,177492698.0,True,True,True,True,True,True,True,True,0.07028489217785489,20
NIVABUPA.NS,82.97000122070312,2527635.4603174604,0.2527435501033549,53.3737738232762,82.2196667989095,91.0,0.06704613455171586,82.84571438743954,77.68290000915528,153308423030.43307,1847757271.0,True,True,True,True,True,True,True,True,0.06646011384327576,21
EXIDEIND.NS,385.6499938964844,3367000.095238095,0.27339732969200403,56.89284365640119,368.411664835612,427.3500061035156,0.3060587145318378,373.56666492280505,361.85649978637696,327802494812.0117,850000000.0,True,True,True,True,True,True,True,True,0.032361350820950346,22
AXISBANK.NS,1317.300048828125,7482631.825396826,0.2332014151571586,60.48071973426943,1273.8633382161458,1403.0,0.03426882900246244,1274.7381068638392,1250.6525018310547,4097134048406.634,3110251193.0,True,True,True,True,True,True,True,True,0.019258431096984416,23
GREENPLY.NS,292.5,1228754.9047619049,0.39017797482985,67.3021242973087,264.18533477783205,341.31005859375,0.2570714732699442,263.90523928687685,261.23960105896,36533848162.5,124902045.0,True,True,True,True,True,True,True,True,0.010203806073472209,24
TITAGARH.NS,822.7000122070312,1718181.9841269841,0.36150954315706996,53.273276169901685,808.608339436849,962.6026000976562,0.2350873592068222,808.8666730608259,804.3729772949218,110796110577.5669,134673768.0,True,True,True,True,True,True,True,True,0.005586582210924294,25
GAIL.NS,166.08999633789062,12269484.873015873,0.2503311020259871,53.74261114690712,164.22933247884114,192.92901611328125,0.08995504487798732,164.27952357700892,164.85296379089357,1092054953827.2092,6575079643.0,True,True,True,True,True,True,True,True,-0.0034784950218549157,26
SBIN.NS,1000.7000122070312,17354934.0,0.22215801989992875,55.80273222992615,982.9029805501302,1206.0606689453125,0.02455204358128589,968.0857195172991,975.3990921020508,9237079130988.637,9230617586.0,True,True,True,True,True,True,True,True,-0.0074978259093832125,27
BANKBARODA.NS,267.6000061035156,11720017.92063492,0.26405022582786725,56.18061914925874,259.15921681722006,314.2847900390625,0.09430614568218129,260.2553434826079,268.4644074249268,1383856550663.89,5171362179.0,True,True,True,True,True,True,True,True,-0.030577848367532554,28
KOTAKBANK.NS,393.3500061035156,19538971.42857143,0.21303334600446,60.91270603478583,382.3250010172526,445.3465270996094,0.04749140674004854,384.37857491629467,405.64180084228514,3912442048790.9043,9946464950.0,True,True,True,True,True,True,True,True,-0.05241872480064667,29
